X,Y,Z
-17.58,-35.95,"-3.60
"
-17.64,-36.8,"-3.85
"
-14.22,-32.47,"-1.46
"
-7.2,-26.79,"0.49
"
-4.39,-25.02,"-2.93
"
-11.29,-25.21,"-10.74
"
-22.83,-20.75,"-19.59
"
-33.45,-8.42,"-25.15
"
-43.15,8.79,"-24.35
"
-43.46,22.46,"-15.75
"
-31.74,22.95,"-3.23
"
-16.66,8,"9.22
"
-4.7,-12.94,"18.74
"
3.54,-29.11,"22.03
"
3.66,-31.43,"17.27
"
-5.07,-19.59,"6.35
"
-19.23,0.06,"-6.04
"
-29.6,18.19,"-17.82
"
-38.27,27.83,"-27.16
"
-43.46,26.12,"-29.60
"
-37.9,17.94,"-21.48
"
-23.19,8.91,"-3.36
"
-5,2.62,"18.43
"
6.53,3.91,"35.03
"
6.29,15.01,"39.67
"
-2.44,31.8,"31.56
"
-15.63,46.94,"15.81
"
-27.04,52.49,"-1.65
"
-32.1,45.17,"-16.66
"
-33.39,31.56,"-23.01
"
-26.73,20.2,"-18.74
"
-12.88,15.26,"-6.77
"
-2.2,13.98,"8.36
"
6.96,13.98,"21.12
"
11.35,13.55,"27.10
"
10.74,10.56,"25.94
"
9.7,6.59,"19.41
"
2.26,5.43,"8.97
"
-10.68,5.25,"-1.77
"
-22.22,4.88,"-9.89
"
-35.52,6.1,"-14.40
"
-43.58,10.01,"-13.61
"
-43.82,12.82,"-7.57
"
-37.41,8.12,"1.10
"
-30.52,-2.44,"7.14
"
-22.77,-11.23,"10.56
"
-14.71,-16.72,"12.70
"
-1.65,-20.08,"11.96
"
-2.44,-20.94,"7.39
"
-10.99,-17.09,"2.69
"
-18.13,-5.86,"1.53
"
-25.39,7.2,"3.30
"
-28.38,9.83,"8.36
"
-21.67,-2.32,"16.78
"
-5.25,-24.11,"26.06
"
11.66,-43.76,"32.53
"
21.67,-52.43,"36.25
"
27.1,-51.09,"38.51
"
26.73,-40.41,"37.60
"
9.89,-22.64,"32.71
"
-16.48,2.01,"21.85
"
-52.92,31.19,"6.41
"
-80.32,50.48,"-6.77
"
-80.81,47.18,"-16.60
"
-67.32,24.29,"-21.42
"
-50.78,-8.79,"-21.12
"
-31.37,-40.65,"-14.83
"
-9.83,-63.17,"-5.07
"
4.09,-71.84,"5.31
"
6.59,-64.39,"15.26
"
1.53,-40.83,"24.48
"
-2.56,-12.08,"29.91
"
-8.73,10.13,"28.81
"
-14.71,19.53,"21.97
"
-17.7,15.2,"10.50
"
-24.84,5.98,"-1.22
"
-32.84,-0.85,"-10.07
"
-39.37,-8.24,"-16.60
"
-44.19,-14.53,"-20.20
"
-47.24,-16.72,"-20.20
"
-48.71,-14.16,"-16.42
"
-40.83,-8.67,"-11.05
"
-28.44,-8.06,"-4.58
"
-6.47,-17.09,"3.17
"
20.2,-35.46,"9.09
"
36.99,-52,"6.96
"
32.23,-55.6,"-2.14
"
6.41,-45.23,"-16.72
"
-27.71,-23.5,"-34.48
"
-57.68,3.11,"-46.57
"
-78.43,25.39,"-48.03
"
-81.42,37.84,"-39.92
"
-71.47,37.11,"-28.14
"
-51.7,24.11,"-17.70
"
-26.55,3.42,"-10.86
"
-6.84,-17.21,"-10.38
"
-1.59,-30.33,"-17.03
"
-6.9,-33.33,"-28.14
"
-16.54,-26.92,"-36.56
"
-24.6,-13.31,"-35.52
"
-30.21,3.91,"-26.55
"
-36.8,22.52,"-13.73
"
-37.96,37.05,"-1.04
"
-35.28,40.1,"8.30
"
-28.14,29.6,"11.90
"
-9.77,8.54,"10.80
"
6.35,-10.74,"3.97
"
8.73,-15.75,"-6.29
"
2.99,-9.28,"-14.83
"
-7.75,-0.98,"-16.36
"
-16.3,5.92,"-9.95
"
-21.91,10.93,"3.72
"
-18.92,14.28,"22.28
"
-12.63,15.69,"38.39
"
-6.29,14.53,"45.41
"
1.83,8.24,"41.69
"
6.29,-2.5,"28.26
"
1.89,-15.01,"8.00
"
-5,-25.02,"-11.23
"
-9.77,-28.63,"-22.89
"
-12.51,-25.82,"-22.77
"
-11.29,-16.48,"-10.86
"
-4.94,-4.46,"6.90
"
2.44,4.33,"22.77
"
4.76,7.32,"30.21
"
2.62,4.82,"26.92
"
-2.87,-2.69,"16.11
"
-8.06,-11.54,"4.88
"
-12.7,-13.24,"-3.72
"
-13.61,-6.53,"-5.19
"
-11.35,1.83,"0.37
"
-5.74,8.54,"9.64
"
6.04,9.34,"20.08
"
15.87,6.53,"25.33
"
15.87,7.45,"23.13
"
7.87,11.84,"15.93
"
0.79,15.87,"6.29
"
-2.56,17.7,"-2.32
"
-2.75,17.76,"-8.00
"
-1.34,17.88,"-10.50
"
1.4,17.94,"-10.38
"
4.09,14.89,"-7.63
"
7.02,9.52,"-3.42
"
6.96,7.51,"1.89
"
4.94,10.99,"7.32
"
1.83,15.93,"11.35
"
-0.06,17.94,"12.94
"
-2.44,16.85,"12.33
"
-4.15,15.26,"11.35
"
-5.68,11.84,"11.41
"
-4.33,4.94,"13.37
"
3.11,-4.09,"17.40
"
10.38,-9.16,"20.87
"
16.54,-7.08,"21.73
"
20.02,-2.08,"18.07
"
20.02,0.98,"10.56
"
18.98,1.04,"-0.06
"
17.27,-0.61,"-10.19
"
17.21,-0.31,"-17.76
"
14.34,2.08,"-19.04
"
17.88,4.27,"-13.98
"
22.16,4.7,"-5.68
"
26.49,4.21,"1.40
"
29.66,4.52,"6.16
"
31.74,4.88,"7.75
"
29.3,2.99,"5.31
"
26.55,-1.83,"0.37
"
23.32,-7.26,"-3.30
"
22.03,-10.19,"-4.27
"
23.62,-10.01,"-2.26
"
28.44,-6.04,"0.98
"
34.18,1.28,"3.66
"
35.95,9.58,"4.58
"
37.11,15.38,"3.05
"
36.62,16.97,"0.67
"
36.5,14.22,"-2.14
"
37.29,9.95,"-4.46
"
36.68,6.04,"-6.77
"
33.14,3.72,"-8.48
"
29.3,3.85,"-8.42
"
27.16,3.91,"-6.71
"
27.59,0.98,"-2.56
"
30.82,-0.61,"3.11
"
35.4,0.06,"9.03
"
40.34,3.54,"13.61
"
46.14,7.08,"13.67
"
50.72,12.7,"8.61
"
54.75,16.78,"0.85
"
49.8,18.25,"-8.61
"
