X,Y,Z
15.56,-102.36,"-50.42
"
16.6,-105.41,"-42.18
"
29.97,-106.38,"-25.45
"
41.38,-102.54,"-10.62
"
46.57,-96.98,"-6.53
"
43.27,-89.17,"-13.43
"
40.34,-84.11,"-26.67
"
39.49,-80.99,"-42.91
"
37.05,-77.64,"-59.45
"
32.29,-75.93,"-70.80
"
31.92,-75.81,"-74.04
"
35.89,-75.81,"-67.99
"
43.82,-74.04,"-57.19
"
52.73,-71.78,"-50.42
"
51.33,-68.48,"-52.31
"
42.48,-64.21,"-59.69
"
35.4,-58.29,"-67.75
"
27.53,-51.15,"-73.85
"
21.06,-46.69,"-76.60
"
24.05,-48.52,"-74.83
"
35.71,-55.91,"-70.92
"
46.08,-63.66,"-66.41
"
52.49,-67.14,"-61.16
"
55.24,-65.25,"-56.09
"
51.94,-58.9,"-55.48
"
42.6,-49.5,"-59.81
"
30.33,-39.25,"-67.20
"
18.98,-30.4,"-75.26
"
11.35,-23.99,"-79.96
"
10.01,-23.68,"-80.81
"
12.88,-27.65,"-79.04
"
18.98,-31.25,"-75.44
"
26.92,-31.25,"-70.56
"
33.51,-30.88,"-67.14
"
36.99,-31.92,"-67.57
"
37.72,-33.45,"-71.90
"
35.46,-34.12,"-77.64
"
34.55,-34,"-81.30
"
36.19,-32.41,"-81.85
"
34.79,-28.44,"-80.32
"
31.37,-23.99,"-76.84
"
28.75,-20.2,"-71.47
"
26.73,-16.85,"-65.61
"
26.61,-14.83,"-60.91
"
28.5,-16.24,"-58.96
"
29.54,-20.45,"-61.28
"
26.86,-24.6,"-66.89
"
22.46,-25.02,"-71.96
"
19.23,-21.85,"-73.18
"
15.69,-16.05,"-70.68
"
11.84,-11.72,"-67.20
"
8.97,-10.5,"-64.76
"
9.89,-10.25,"-62.44
"
15.2,-10.8,"-61.10
"
22.03,-12.33,"-60.30
"
26.79,-16.24,"-59.45
"
31.98,-23.44,"-57.37
"
37.9,-29.05,"-55.18
"
39.31,-29.24,"-55.54
"
34.06,-23.8,"-58.78
"
26.55,-15.26,"-61.77
"
20.26,-7.81,"-62.56
"
17.09,-5.62,"-61.71
"
17.21,-6.35,"-60.06
"
19.04,-6.84,"-57.68
"
21.79,-7.93,"-55.11
"
27.95,-9.16,"-53.77
"
32.65,-9.34,"-54.63
"
33.81,-7.51,"-55.60
"
34.79,-0.37,"-53.89
"
33.45,7.14,"-51.57
"
